Questioner.Quote.Offer,Lender ID,Amortization,Status,Month#,TopicCreatedOn
d61458db-5778-44ae-a9d4-3304356c531dccc8244e-a83b-4eb2-bce1-455b4e675bcf24703e97-3b7d-4bb4-b7bb-b2832437f8af,162,Variable,1,1,2018-01-04 17:09:42 GMT
fc239ead-a167-49f3-b65d-0d597daff824f40b11eb-7c85-4ff5-839c-4e6c8e01399c3fe55535-99cf-4eb4-afdb-49379ed4c5e0,83,Variable,1,1,2018-01-10 15:55:35 GMT
737486ae-d47c-421b-9d09-7011f1f799ec6f5facd8-d093-4260-bf33-a82b98177064b62705e3-26e6-41b9-9fed-5f727d259c66,83,Variable,1,1,2018-01-11 16:55:24 GMT
86d6f85f-f9e7-40e6-958b-4a3a66e2430495689740-6fc2-4ca9-ab02-f8cd0b75ca8f48f040da-8c5f-477f-8fd8-994f6386949f,7,Variable,1,1,2018-01-12 16:24:25 GMT
2af2202c-edb8-4d6e-b42f-2d52edc30dcde3da9620-a3e1-4338-a394-0b9264aed7bcf75c1af0-a42f-4f00-854b-73442b7157c2,7,Variable,1,1,2018-01-12 19:27:36 GMT
c44e0b6c-9ece-4f4e-b6ff-78efde1202e631de7490-571e-423b-b677-56593cf644ef570dac72-4e1b-4fcb-b781-066094bfc72d,83,Variable,1,1,2018-01-15 20:54:06 GMT
10b89c19-3c13-4a25-b6e4-b4438041e9897ac23f72-860e-4bb8-bbfd-5b69fb1e084cd49f66da-79fb-430b-8436-bc9c373527c8,162,Variable,1,1,2018-01-15 23:02:52 GMT
5a0816ab-264b-4276-b1ba-2a6c056a278282774bdf-75c0-4660-9585-7c7a2dc66e792311d0c4-d340-4b58-9ace-205a105bc19c,232,Variable,1,1,2018-01-19 17:53:05 GMT
212ec61d-136c-49ce-9748-40a5acb212b18aca454a-7c84-4f25-964f-7bec3a8660a4f5cba6ed-c54d-48ec-b5f6-170fba4e1dd0,232,Variable,1,1,2018-01-21 01:40:49 GMT
056540e6-3635-4437-8282-8034802540b83ab124d6-c456-41ad-b643-5a6123a63284a34e9409-c516-43eb-99b7-e6fca7515def,165,Variable,1,1,2018-01-22 23:56:29 GMT
c02e6f6b-5cae-4af2-9095-ffe444a80c860e5fa1a5-2401-4b13-9991-bfd565866b71b868e8a1-9f44-4b6b-819c-a92289fe79e6,165,Variable,1,1,2018-01-24 18:03:47 GMT
7cd76a9a-4274-499e-9be9-ce77dad4826556321916-ca6f-49ff-80aa-371a9a5e45c67489d901-a6c5-4720-b3c4-599e657161d5,83,Variable,1,1,2018-01-25 06:13:14 GMT
7cd76a9a-4274-499e-9be9-ce77dad4826556321916-ca6f-49ff-80aa-371a9a5e45c6dc9c6f44-a3dc-4d5b-b016-a5fd09eee500,165,Variable,1,1,2018-01-25 06:14:54 GMT
c5eebf21-fbca-41b8-aca6-638bc861522baaf3e125-eda0-4967-9038-24d20ca02ff75276c604-c36c-418b-aee5-0ae483e79682,162,Variable,1,1,2018-01-25 09:18:22 GMT
c5eebf21-fbca-41b8-aca6-638bc861522baaf3e125-eda0-4967-9038-24d20ca02ff729b1b0c1-97c6-4bde-95b7-581fb1bdb233,83,Variable,1,1,2018-01-25 09:18:55 GMT
